"x","cdf","gamma","gamma_label","p0"
-4.13333333333333,0.221257471529858,-1.01769180900079,"gamma = -1.018",0.6
-4.12,0.222192662144283,-1.01769180900079,"gamma = -1.018",0.6
-4.10666666666667,0.223130467065937,-1.01769180900079,"gamma = -1.018",0.6
-4.09333333333333,0.224070885775307,-1.01769180900079,"gamma = -1.018",0.6
-4.08,0.225013917696031,-1.01769180900079,"gamma = -1.018",0.6
-4.06666666666667,0.225959562194536,-1.01769180900079,"gamma = -1.018",0.6
-4.05333333333333,0.226907818579676,-1.01769180900079,"gamma = -1.018",0.6
-4.04,0.227858686102363,-1.01769180900079,"gamma = -1.018",0.6
-4.02666666666667,0.228812163955195,-1.01769180900079,"gamma = -1.018",0.6
-4.01333333333333,0.229768251272086,-1.01769180900079,"gamma = -1.018",0.6
-4,0.230726947127897,-1.01769180900079,"gamma = -1.018",0.6
-3.98666666666667,0.231688250538053,-1.01769180900079,"gamma = -1.018",0.6
-3.97333333333333,0.232652160458175,-1.01769180900079,"gamma = -1.018",0.6
-3.96,0.233618675783694,-1.01769180900079,"gamma = -1.018",0.6
-3.94666666666667,0.234587795349471,-1.01769180900079,"gamma = -1.018",0.6
-3.93333333333333,0.23555951792942,-1.01769180900079,"gamma = -1.018",0.6
-3.92,0.236533842236114,-1.01769180900079,"gamma = -1.018",0.6
-3.90666666666667,0.237510766920405,-1.01769180900079,"gamma = -1.018",0.6
-3.89333333333333,0.238490290571031,-1.01769180900079,"gamma = -1.018",0.6
-3.88,0.239472411714225,-1.01769180900079,"gamma = -1.018",0.6
-3.86666666666667,0.240457128813325,-1.01769180900079,"gamma = -1.018",0.6
-3.85333333333333,0.241444440268373,-1.01769180900079,"gamma = -1.018",0.6
-3.84,0.242434344415721,-1.01769180900079,"gamma = -1.018",0.6
-3.82666666666667,0.24342683952763,-1.01769180900079,"gamma = -1.018",0.6
